/bin/python /source/historic_coastal_landfills/projects/source/utilities/python/hcl_utilities/plot_hcl_site_markers_on_map.py
2023-02-02 15:17:53.828 | INFO     | __main__:get_lat_long_postcode_from_easting_and_northing:209 - Extracting postcode from address
2023-02-02 15:17:53.828 | INFO     | __main__:get_lat_long_postcode_from_easting_and_northing:190 - Converting easting and northing into latitude and longitude for site: 26 of 281
2023-02-02 15:17:53.847 | INFO     | __main__:get_lat_long_postcode_from_easting_and_northing:202 - Performing address lookup
2023-02-02 15:17:54.312 | INFO     | __main__:get_lat_long_postcode_from_easting_and_northing:209 - Extracting postcode from address
2023-02-02 15:17:54.313 | INFO     | __main__:get_lat_long_postcode_from_easting_and_northing:190 - Converting easting and northing into latitude and longitude for site: 27 of 281
2023-02-02 15:17:54.332 | INFO     | __main__:get_lat_long_postcode_from_easting_and_northing:202 - Performing address lookup
2023-02-02 15:17:54.809 | INFO     | __main__:get_lat_long_postcode_from_easting_and_northing:209 - Extracting postcode from address
2023-02-02 15:17:54.810 | INFO     | __main__:get_lat_long_postcode_from_easting_and_northing:190 - Converting easting and northing into latitude and longitude for site: 28 of 281
2023-02-02 15:17:54.831 | INFO     | __main__:get_lat_long_postcode_from_easting_and_northing:202 - Performing address lookup
2023-02-02 15:17:55.315 | INFO     | __main__:get_lat_long_postcode_from_easting_and_northing:209 - Extracting postcode from address
2023-02-02 15:17:55.315 | INFO     | __main__:get_lat_long_postcode_from_easting_and_northing:190 - Converting easting and northing into latitude and longitude for site: 29 of 281
2023-02-02 15:17:55.334 | INFO     | __main__:get_lat_long_postcode_from_easting_and_northing:202 - Performing address lookup
2023-02-02 15:17:55.809 | INFO     | __main__:get_lat_long_postcode_from_easting_and_northing:209 - Extracting postcode from address
2023-02-02 15:17:55.809 | INFO     | __main__:get_lat_long_postcode_from_easting_and_northing:190 - Converting easting and northing into latitude and longitude for site: 30 of 281
2023-02-02 15:17:55.830 | INFO     | __main__:get_lat_long_postcode_from_easting_and_northing:202 - Performing address lookup
2023-02-02 15:17:56.308 | INFO     | __main__:get_lat_long_postcode_from_easting_and_northing:209 - Extracting postcode from address
